timestamp,ecg_value
0.029,502
0.03,502
0.031,502
0.032,502
0.033,503
0.034,503
0.035,503
0.036,503
0.037,503
0.038,503
0.037,503
0.038,503
0.039,503
0.04,503
0.041,503
0.042,503
0.043,503
0.044,503
0.045,503
0.046,503
0.048,504
0.049,503
0.05,503
0.051,503
0.052,503
0.053,503
0.054,503
0.055,503
0.056,504
0.057,504
0.061,504
0.062,504
0.063,504
0.064,504
0.065,504
0.066,504
0.067,504
0.068,504
0.069,504
0.07,504
0.07,504
0.071,504
0.072,504
0.073,504
0.074,503
0.075,503
0.076,503
0.077,503
0.078,503
0.079,504
0.084,504
0.085,504
0.086,504
0.087,504
0.088,504
0.089,504
0.09,504
0.091,504
0.092,504
0.093,504
0.09,504
0.091,504
0.092,505
0.093,504
0.094,504
0.095,504
0.096,504
0.097,504
0.098,504
0.099,504
0.108,504
0.109,504
0.11,504
0.111,504
0.112,504
0.113,504
0.114,504
0.115,504
0.116,505
0.117,505
0.11,505
0.111,505
0.112,504
0.113,504
0.114,505
0.115,505
0.116,504
0.117,504
0.118,504
0.119,504
0.123,504
0.124,505
0.125,505
0.126,505
0.127,505
0.128,505
0.129,505
0.13,505
0.131,505
0.132,505
0.133,505
0.134,505
0.135,505
0.136,505
0.137,505
0.138,505
0.139,505
0.14,505
0.141,505
0.142,505
0.15,505
0.151,505
0.152,505
0.153,505
0.154,505
0.155,505
0.156,505
0.157,505
0.158,505
0.159,505
0.154,505
0.155,504
0.156,504
0.157,504
0.158,505
0.159,504
0.16,504
0.161,505
0.162,505
0.163,505
0.154,505
0.155,505
0.156,505
0.157,505
0.158,505
0.159,505
0.16,505
0.161,505
0.162,505
0.163,505
0.169,505
0.17,505
0.171,505
0.172,505
0.173,505
0.174,505
0.175,505
0.176,505
0.177,505
0.178,505
0.173,505
0.174,505
0.175,505
0.176,505
0.177,505
0.178,505
0.179,505
0.18,505
0.181,505
0.182,505
0.194,505
0.195,505
0.196,505
0.197,505
0.198,505
0.199,505
0.2,505
0.201,505
0.202,505
0.203,505
0.197,505
0.198,505
0.199,505
0.2,505
0.201,505
0.202,505
0.203,505
0.204,505
0.205,505
0.206,505
0.212,505
0.213,505
0.214,505
0.215,505
0.216,505
0.217,505
0.218,504
0.219,505
0.22,505
0.221,505
0.215,505
0.216,505
0.217,505
0.218,505
0.219,505
0.22,505
0.221,505
0.222,505
0.223,505
0.224,505
0.23,505
0.231,505
0.232,505
0.233,505
0.234,505
0.235,505
0.236,505
0.237,505
0.238,505
0.239,505
0.241,505
0.242,505
0.243,505
0.244,505
0.245,505
0.246,505
0.247,505
0.248,505
0.249,505
0.25,505
0.25,504
0.251,504
0.252,505
0.253,505
0.254,505
0.255,505
0.256,505
0.257,505
0.258,505
0.259,505
0.263,505
0.264,505
0.265,505
0.266,505
0.267,505
0.268,505
0.269,505
0.27,505
0.271,505
0.272,505
0.288,505
0.289,504
0.29,504
0.291,504
0.292,504
0.293,505
0.294,505
0.295,505
0.296,505
0.297,505
0.301,505
0.302,505
0.303,505
0.304,505
0.305,505
0.306,505
0.307,505
0.308,505
0.309,505
0.31,505
0.304,505
0.305,505
0.306,505
0.307,505
0.308,505
0.309,505
0.31,505
0.311,505
0.312,505
0.313,505
0.306,505
0.307,505
0.308,505
0.309,505
0.31,505
0.311,505
0.312,505
0.313,505
0.314,505
0.315,505
0.316,505
0.317,505
0.318,505
0.319,505
0.32,505
0.321,505
0.322,505
0.323,505
0.324,505
0.325,505
0.324,505
0.325,505
0.326,505
0.327,505
0.328,505
0.329,505
0.33,505
0.331,505
0.332,505
0.333,505
0.341,505
0.342,505
0.343,505
0.344,505
0.345,505
0.346,505
0.347,505
0.348,505
0.349,505
0.35,504
0.344,505
0.345,505
0.346,505
0.347,505
0.348,505
0.349,505
0.35,505
0.351,505
0.352,505
0.353,505
0.345,505
0.346,505
0.347,505
0.348,505
0.349,505
0.35,505
0.351,505
0.352,505
0.353,505
0.354,505
0.36,505
0.361,505
0.362,505
0.363,505
0.364,505
0.365,505
0.366,505
0.367,505
0.368,505
0.369,505
0.366,505
0.367,505
0.368,505
0.369,505
0.37,505
0.371,505
0.372,505
0.373,505
0.374,505
0.375,505
0.381,505
0.382,505
0.383,505
0.384,505
0.385,505
0.386,505
0.387,505
0.388,505
0.389,505
0.39,505
0.388,505
0.389,505
0.39,505
0.391,505
0.392,505
0.393,505
0.394,505
0.395,505
0.396,505
0.397,505
0.4,505
0.401,505
0.402,505
0.403,505
0.404,505
0.405,505
0.406,505
0.407,505
0.408,505
0.409,505
0.418,505
0.419,506
0.42,506
0.421,506
0.422,506
0.423,506
0.424,506
0.425,506
0.426,506
0.427,506
0.42,506
0.421,506
0.422,506
0.423,506
0.424,506
0.425,506
0.426,506
0.427,506
0.428,506
0.429,506
0.433,506
0.434,506
0.435,506
0.436,506
0.437,506
0.438,506
0.439,506
0.44,506
0.441,506
0.442,506
0.443,506
0.444,506
0.445,506
0.446,506
0.447,506
0.448,506
0.449,506
0.45,506
0.451,506
0.452,506
0.453,506
0.454,506
0.455,506
0.456,506
0.457,506
0.458,506
0.459,506
0.46,505
0.461,505
0.462,505
0.468,505
0.469,505
0.47,505
0.471,505
0.472,505
0.473,505
0.474,505
0.475,504
0.476,504
0.477,504
0.472,504
0.473,504
0.474,504
0.475,504
0.476,504
0.477,504
0.478,504
0.479,504
0.48,504
0.481,504
0.487,504
0.488,504
0.489,504
0.49,504
0.491,504
0.492,504
0.493,504
0.494,504
0.495,504
0.496,504
0.487,504
0.488,504
0.489,504
0.49,504
0.491,504
0.492,504
0.493,504
0.494,504
0.495,504
0.496,504
0.497,504
0.498,504
0.499,504
0.5,504
0.501,504
0.502,504
0.503,505
0.504,505
0.505,505
0.506,505
0.512,504
0.513,504
0.514,504
0.515,504
0.516,504
0.517,504
0.518,504
0.519,504
0.52,504
0.521,504
0.516,504
0.517,504
0.518,504
0.519,504
0.52,504
0.521,504
0.522,504
0.523,504
0.524,505
0.525,505
0.531,505
0.532,505
0.533,505
0.534,505
0.535,505
0.536,505
0.537,505
0.538,505
0.539,505
0.54,504
0.538,504
0.539,504
0.54,504
0.541,504
0.542,504
0.543,504
0.544,504
0.545,504
0.546,504
0.547,504
0.554,505
0.555,505
0.556,505
0.557,505
0.558,505
0.559,505
0.56,506
0.561,506
0.562,506
0.563,506
0.56,507
0.561,507
0.562,508
0.563,508
0.564,508
0.565,509
0.566,510
0.567,510
0.568,511
0.569,511
0.575,512
0.576,512
0.577,513
0.578,513
0.579,513
0.58,513
0.581,513
0.582,513
0.583,513
0.584,513
0.578,512
0.579,511
0.58,510
0.581,509
0.582,508
0.583,507
0.584,505
0.585,505
0.586,504
0.587,503
0.593,502
0.594,502
0.595,501
0.596,500
0.597,499
0.598,498
0.599,497
0.6,497
0.601,497
0.602,497
0.606,497
0.607,498
0.608,498
0.609,499
0.61,499
0.611,500
0.612,501
0.613,501
0.614,502
0.615,502
0.613,503
0.614,503
0.615,503
0.616,504
0.617,504
0.618,504
0.619,504
0.62,504
0.621,504
0.622,505
0.623,505
0.624,505
0.625,505
0.626,505
0.627,505
0.628,505
0.629,505
0.63,505
0.631,505
0.632,505
0.641,505
0.642,505
0.643,505
0.644,505
0.645,505
0.646,505
0.647,505
0.648,505
0.649,505
0.65,505
0.644,505
0.645,505
0.646,505
0.648,505
0.649,505
0.65,505
0.651,505
0.652,505
0.653,505
0.654,505
0.645,505
0.646,505
0.647,505
0.648,505
0.649,505
0.65,505
0.651,505
0.652,505
0.653,505
0.654,505
0.66,505
0.661,505
0.662,505
0.663,505
0.664,505
0.665,505
0.666,505
0.667,505
0.668,505
0.669,505
0.667,505
0.668,505
0.669,505
0.67,505
0.671,505
0.672,505
0.673,505
0.674,505
0.675,505
0.676,505
0.684,505
0.685,505
0.686,505
0.687,505
0.688,505
0.689,505
0.69,505
0.691,505
0.692,505
0.693,505
0.687,505
0.688,505
0.689,505
0.69,505
0.691,505
0.692,505
0.693,505
0.694,505
0.695,505
0.696,505
0.701,505
0.703,505
0.704,505
0.705,505
0.706,505
0.707,505
0.708,505
0.709,505
0.71,505
0.711,505
0.708,505
0.709,505
0.71,505
0.711,505
0.712,505
0.713,505
0.714,505
0.715,505
0.716,505
0.717,505
0.726,505
0.727,505
0.728,505
0.729,505
0.73,505
0.731,505
0.732,505
0.733,506
0.734,506
0.735,506
0.729,506
0.73,506
0.731,506
0.732,506
0.733,506
0.734,506
0.735,505
0.736,505
0.737,506
0.738,506
0.744,506
0.745,506
0.746,506
0.747,506
0.748,506
0.749,506
0.75,506
0.751,506
0.752,506
0.753,506
0.752,506
0.753,506
0.754,506
0.755,506
0.756,506
0.757,506
0.758,506
0.759,506
0.76,506
0.761,506
0.769,506
0.77,506
0.771,506
0.772,506
0.773,506
0.774,507
0.775,507
0.776,507
0.777,507
0.778,507
0.772,507
0.773,507
0.774,507
0.775,507
0.776,507
0.777,507
0.778,507
0.779,507
0.78,507
0.781,507
0.787,507
0.788,507
0.789,507
0.79,507
0.791,507
0.792,507
0.793,507
0.794,507
0.795,507
0.796,507
0.794,507
0.795,507
0.796,507
0.797,507
0.798,507
0.799,507
0.8,507
0.801,507
0.802,507
0.803,507
0.812,507
0.813,507
0.814,507
0.815,507
0.816,507
0.817,507
0.818,507
0.819,507
0.82,507
0.821,507
0.816,507
0.817,507
0.818,507
0.819,506
0.82,506
0.821,506
0.822,506
0.823,506
0.824,506
0.825,505
0.816,505
0.817,505
0.818,505
0.819,505
0.82,505
0.821,505
0.822,504
0.823,504
0.824,504
0.825,504
0.831,503
0.832,503
0.833,503
0.834,503
0.835,503
0.836,502
0.837,502
0.838,502
0.839,502
0.84,502
0.834,502
0.835,501
0.836,501
0.837,501
0.838,501
0.839,501
0.84,501
0.841,501
0.842,501
0.843,501
0.85,501
0.851,500
0.852,500
0.853,500
0.854,500
0.855,500
0.856,500
0.857,500
0.858,500
0.859,500
0.859,500
0.86,500
0.861,500
0.862,500
0.863,500
0.864,500
0.865,500
0.866,500
0.867,500
0.868,500
0.874,500
0.875,500
0.876,500
0.877,500
0.878,500
0.879,500
0.88,500
0.881,500
0.882,500
0.883,500
0.878,500
0.879,500
0.88,500
0.881,500
0.882,500
0.883,500
0.884,500
0.885,500
0.886,500
0.887,500
0.893,500
0.894,500
0.895,500
0.896,501
0.897,501
0.898,501
0.899,501
0.9,501
0.901,501
0.902,501
0.9,501
0.901,501
0.902,501
0.903,501
0.904,501
0.905,501
0.906,501
0.907,501
0.908,501
0.909,501
0.934,501
0.935,501
0.936,501
0.937,501
0.938,501
0.939,501
0.94,501
0.941,502
0.942,502
0.943,501
0.938,502
0.939,502
0.94,502
0.941,502
0.942,502
0.943,502
0.944,502
0.945,502
0.946,502
0.947,502
0.94,502
0.941,502
0.942,502
0.943,502
0.944,502
0.945,502
0.946,502
0.947,502
0.948,502
0.949,502
0.944,502
0.945,502
0.946,502
0.947,502
0.948,502
0.949,503
0.95,503
0.951,503
0.952,503
0.953,503
0.957,503
0.958,503
0.959,503
